Age 0 to age 1 mortality with PE for cultivation/depensation ms,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Lagged,,,,,,
WBICYR(Age 0),MWBC,COUNTY,LAKE,AREA,YEAR,WRC (at Age0),Avg AGE0CPE (t),Avg Age1CPE (t+1),Adult PE (t),Adult no./acre,Surv.,M,S,M,,,Age0,M,
6924001999,692400,FOREST,BUTTERNUT L,1292,1999,C-NR,47.625,3.625,4395,3.401702786,0.08,0.92,,,,,,,
6924002000,692400,FOREST,BUTTERNUT L,1292,2000,NR,13.625,3.5,3981,3.08126935,0.26,0.74,,,,,,,
6924002001,692400,FOREST,BUTTERNUT L,1292,2001,NR,5.25,2.166666667,2740,2.120743034,0.41,0.59,,,,,,,
6924002002,692400,FOREST,BUTTERNUT L,1292,2002,NR,192.1666667,2.125,2106,1.63003096,0.01,0.99,,,,,,,
6924002003,692400,FOREST,BUTTERNUT L,1292,2003,C-NR,192,8.25,1625,1.257739938,0.04,0.96,,,,,,,
6924002004,692400,FOREST,BUTTERNUT L,1292,2004,C-NR,4.1875,2.875,1703,1.318111455,0.69,0.31,,,,,,,
6924002006,692400,FOREST,BUTTERNUT L,1292,2006,C-NR,97.5641026,23.875,1073,0.830495356,0.24,0.76,,,,,,,
6924002008,692400,FOREST,BUTTERNUT L,1292,2008,C-NR,35.125,8.5,1195,0.924922601,0.24,0.76,,,,,,,
6924002009,692400,FOREST,BUTTERNUT L,1292,2009,C-NR,74.5,0.625,8528,6.600619195,0.01,0.99,,,,,,,
6924002010,692400,FOREST,BUTTERNUT L,1292,2010,C-NR,12.875,1.5,6953,5.381578947,0.12,0.88,,,,,,,
6924002011,692400,FOREST,BUTTERNUT L,1292,2011,C-NR,73,0.75,5631,4.358359133,0.01,0.99,,,,,,,
6924002012,692400,FOREST,BUTTERNUT L,1292,2012,C-NR,3.375,2.0430108,5301,4.102941176,0.61,0.39,,,,,,,
6924002013,692400,FOREST,BUTTERNUT L,1292,2013,C-NR,74.516129,6.25,4475,3.463622291,0.08,0.92,,,,,,,
