wbic,Secchi_satellite,Secchi,Calcium,Conductance,Alkalinity,pH,totalP,Color,Dissolved OC,MEI
98600,2.934576131,2.4,30,299,165,8.2,0.011,4,NA,166.1111111
98900,0.756715745,0.6,NA,337,126,7.6,NA,2,NA,NA
99100,0.323849825,1.5,NA,324,181,8.5,NA,1,NA,NA
100000,0.283304207,0.6,NA,346,149,9,NA,5,NA,NA
101100,NA,1,NA,580,318,6.9,NA,2,NA,NA
101300,2.573246007,3,NA,197,90,8.3,NA,1,NA,131.3333333
101400,0.385365188,1.8,NA,80,20,7.1,NA,1,NA,NA
101500,NA,3,NA,138,78,8.5,NA,4,NA,NA
101600,NA,4,NA,158,162,8.6,NA,4,NA,NA
101700,2.250078164,1.5,NA,173,63,8.6,NA,4,NA,115.3333333
101800,2.009779328,1.5,NA,182,121,8.1,NA,5,NA,NA
101900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102000,0.974740824,1.8,NA,112,48,8.1,NA,2,NA,NA
102100,2.375625143,1.8,22,223,74,7.95,0.008,4,NA,82.59259259
102200,NA,2.7,NA,178,122,7.9,NA,1,NA,NA
102300,2.903822228,2.4,NA,163,100,8.8,NA,4,2.3,NA
102500,NA,3,NA,145,72,7.5,NA,2,NA,NA
102600,3.716366672,1.5,NA,307,152,7.8,NA,4,NA,73.0952381
102700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102800,3.350600261,3.15,21,278,130,8.25,0.01,4,NA,NA
102900,2.662356308,2.7,22,191,106.5,8.25,0.011,4,NA,NA
103000,2.14745959,1.2,NA,112,54,8.9,NA,1,NA,NA
103100,1.534673794,1.5,NA,219.3314607,115,8.412921348,NA,1,NA,NA
103200,NA,2,NA,134,58,7.1,NA,4,NA,NA
103300,4.354423978,2.4,NA,214,109,8.9,NA,4,NA,NA
103400,2.757686656,2.4,NA,195,104,8.6,NA,4,NA,130
103600,2.328164272,0.6,NA,129,110,7.7,NA,1,NA,NA
103700,0.710728975,0.6,NA,63,23,8.3,NA,4,NA,NA
103800,1.846242166,3.6,NA,77,31,8.3,NA,4,NA,NA
103900,1.661563729,1.5,NA,212,108,8.6,NA,4,4.05,353.3333333
104000,3.103651972,3.6,NA,207,105,8.9,NA,4,NA,NA
104100,2.711837377,0.9,NA,223,139,8.4,NA,4,3.6,NA
104200,3.529150238,2.7,NA,190,121,8.5,NA,4,NA,52.77777778
104300,3.546254912,3.6,NA,208,153,9.2,NA,4,NA,57.77777778
104400,2.620299123,1.8,NA,120,82,9,NA,4,NA,NA
104500,NA,2,NA,115,55,8,NA,4,NA,NA
104600,4.690159306,1.8,NA,230,98,8.5,NA,4,NA,NA
104700,3.232984127,2.4,NA,169,96,8.9,NA,4,NA,56.33333333
104800,3.218290114,6.6,NA,203,108,8.4,NA,4,NA,NA
104900,NA,1.2,NA,120,63,8.3,NA,1,NA,NA
105200,3.254684726,3.9,NA,241,125,8.5,NA,4,NA,NA
105300,NA,1,NA,61,17,8,NA,5,NA,NA
105600,NA,4,NA,165,167,8.6,NA,4,NA,NA
105700,0.90995881,2.1,NA,156,78,8,NA,1,NA,NA
105800,2.561791494,4.5,NA,192,119,8.6,NA,4,NA,40
105900,1.593138415,1.5,NA,114,56,8.4,NA,4,NA,NA
106000,1.000717894,0.3,NA,222,112,8.3,NA,4,NA,NA
106100,NA,1,NA,25,7,7.2,NA,2,NA,NA
106200,2.094072412,1.5,NA,73,43,6.8,NA,4,NA,NA
106300,NA,1,NA,143,75,8.3,NA,1,NA,NA
106400,3.288219343,1.5,NA,147,88,8.6,NA,1,NA,NA
106500,3.23866592,2.7,NA,303,142,6.9,NA,4,NA,77.69230769
106600,2.256613872,2.4,NA,260,92,9.4,NA,4,NA,NA
106700,3.478268138,3.35,17,180,95.5,7.8,0.01,4,NA,NA
106800,4.458828622,4.2,NA,91,35,8.5,NA,4,NA,NA
106900,4.138415789,NA,NA,212,89,8.7,NA,4,NA,47.11111111
107000,0.771303132,1.5,NA,81,48,7.8,NA,4,NA,NA
107100,2.907943091,0.9,NA,140,80,8.7,NA,5,NA,NA
107200,1.21118198,1.8,NA,142,65,7.9,NA,1,NA,NA
107300,2.920268739,1.2,NA,181,84,9.3,NA,4,NA,NA
107400,NA,1,NA,51,21,7.2,NA,2,NA,NA
107500,2.336472349,0.3,NA,163,106,8.8,NA,2,NA,77.61904762
107600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107700,1.798829245,2.4,NA,333,150,8.5,NA,7,NA,69.375
107800,1.456813939,3,NA,80,36,7.2,NA,4,NA,NA
107900,4.062960981,2.7,NA,230,128,8,NA,4,NA,36.50793651
108000,NA,2,NA,111,50,8.4,NA,1,NA,NA
108100,NA,3,NA,192,118,8,NA,4,NA,NA
108200,2.595235468,1.95,18,159,91,8,0.008,4,NA,75.71428571
108300,NA,2,NA,278,185,7.7,NA,1,NA,NA
108700,NA,1,NA,211,92,8.8,NA,4,NA,NA
108800,NA,1,NA,195,97,8.7,NA,4,NA,NA
108900,NA,1,NA,412,228,7.8,NA,1,NA,NA
109400,NA,1,NA,58,16,8.3,NA,1,NA,NA
109600,NA,1,NA,139,106,8,NA,4,NA,NA
109900,NA,2,NA,69,35,6.5,NA,2,8.9,NA
110000,NA,1,NA,64,39,8.2,NA,1,NA,NA
110100,NA,2,NA,299,160,7.3,NA,1,NA,NA
110300,NA,1,NA,262,126,6.8,NA,4,NA,NA
110450,NA,2,NA,185,110,7.4,NA,4,NA,NA
110500,NA,3,NA,207,126,7.8,NA,4,NA,NA
110900,NA,2,NA,159,125,8.8,NA,4,2.7,NA
111300,NA,1,NA,36,10,6.9,NA,4,NA,NA
111400,NA,2,NA,233,128,8.2,NA,4,NA,NA
111500,NA,2,NA,218,82,7.6,NA,1,NA,NA
111600,NA,1,NA,349,130,7.7,NA,4,NA,NA
112000,NA,NA,NA,258,148,8,NA,5,NA,NA
112100,NA,2,NA,40,18,6.8,NA,4,NA,NA
112200,NA,1,NA,203,123,7.4,NA,1,NA,NA
112300,NA,NA,NA,360,142,7.7,NA,4,NA,NA
112500,NA,NA,NA,352,162,8.1,NA,5,NA,NA
112600,NA,NA,NA,333,188,7.4,NA,5,NA,NA
112800,1.095321832,1.5,NA,242,140,7.8,NA,4,NA,NA
113200,NA,1,NA,622,197,8.2,NA,4,NA,NA
113500,1.420842729,0.9,NA,107,58,7.8,NA,4,NA,NA
113600,NA,2,NA,51,24,6.6,NA,1,NA,NA
113700,NA,NA,NA,155,76,8.7,NA,NA,NA,NA
113800,NA,1,NA,182,87,7.8,NA,4,NA,NA
114050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114600,NA,1,NA,97,52,8.5,NA,4,NA,NA
115200,NA,2,NA,139,96,8.3,NA,4,NA,NA
115900,NA,NA,NA,535,125,9.1,NA,5,NA,NA
116000,NA,1,NA,357,136,8.9,NA,5,NA,NA
116100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116700,NA,NA,NA,302,169,8,NA,4,NA,NA
117000,2.028516316,1.5,33.7,339.0234375,170,7.791145833,NA,1,NA,NA
117100,2.579270214,2.4,NA,346,145,7.8,NA,4,NA,NA
117400,1.601519011,4.2,NA,167,52,8.8,NA,4,NA,139.1666667
117500,3.326535675,3.3,NA,198,108,8.3,NA,4,NA,NA
117600,4.824293835,3.45,15,179,99,8.3,0.009,4,NA,27.12121212
117800,0.6341739,0.3,NA,552,154,8.5,NA,5,NA,NA
128800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129800,0.661089556,0.6,NA,319,133,8.8,NA,5,NA,NA
131100,0.788305062,0.75,31,360.25,139.5,8.466666667,0.075,5,NA,92.37179487
133600,NA,0.35,NA,NA,NA,NA,0.3885,NA,NA,NA
134400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138000,1.598175231,0.6,NA,575,NA,NA,NA,NA,NA,NA
139300,3.555482746,1.8,NA,478,206,7.7,NA,5,NA,NA
139500,1.436775011,1.2,NA,559,220,8.5,NA,1,NA,155.2777778
