wbic,year,adults.acre
2461100,1995,1
2464500,1994,0.44
2469800,1995,3.4
2481600,1994,0.56
2488100,1992,0.36
2489400,2003,0.17
2490500,2004,1.23
2490500,1995,1.85
2492100,1994,0.47
2492100,1994,0.47
2495100,2006,0.32
2495100,2000,0.72
2495100,1993,0.87
2496300,1999,0.81
2496300,1994,1.05
2496300,1991,1.51
2496300,1992,1.6
2496300,2009,1.92
2496900,1991,1.41
2498600,1993,1.16
2615100,1994,0.58
2615100,1992,0.63
2615100,2004,2.06
2615100,2009,5.31
2618000,1993,1.27
2618000,2007,1.33
2618100,1993,0.11
2618100,2007,0.29
2620600,2011,0.74
2620600,2005,0.85
2620600,2008,0.95
2620600,2002,1.46
2620600,1998,1.5
2620600,1994,1.65
2621100,2006,0.55
2621100,1997,1.05
2621100,2001,1.24
2621100,1991,1.66
2624600,2007,0.73
2624600,1994,4.62
2627400,2007,1.4
2627400,1991,1.98
2627400,1997,3.74
2641000,1997,0.9
2641000,2003,1.03
2641000,2011,2.77
2641000,1994,4.69
2654500,1991,1.3
2654500,1997,2.07
2661100,1992,1.03
2661100,1993,1.68
2661100,1999,2.25
2661100,1999,2.25
2670300,1997,NA
2675200,1997,2.07
2675200,1996,3.65
2675200,1992,4.03
2675200,2008,4.58
2676800,2009,0.03
2676800,2001,0.08
2678100,1994,0.39
2678100,2007,0.53
2678100,2004,0.62
2678100,2010,0.9
2678100,1997,1.07
2691500,1993,0.7
2691500,1992,0.77
2691500,1992,0.77
2691500,1998,1.87
2692900,2010,5.55
2692900,2005,7
2693700,2001,1.17
2693700,2008,1.78
2694000,2005,1.06
