wbic,Area,Length,MaxDepth,MeanDepth
129800,4857523.458,21100.94435,5.4,NA
131100,533948811.5,181183.5985,6.3,3.9
133600,434570.3398,7954.827347,NA,NA
134400,585038.1467,23211.3551,NA,NA
136700,112254.0738,3584.060616,NA,NA
138000,34890.71351,1071.876814,4.2,NA
139300,323523.8794,2920.700055,20.1,NA
139500,51106.36161,1344.713532,8.1,3.6
139600,67513.54883,1908.83004,1.5,NA
139900,34693923.31,85129.20919,2.7,NA
140500,180015.5705,3285.803305,1.2,NA
141400,11042718.73,44102.45299,1.5,NA
142200,83132.34148,2456.729844,1.2,NA
144800,50275.2988,2299.129842,NA,NA
145700,52341.61917,1452.027958,NA,NA
145900,21372.01485,1180.621502,NA,NA
146100,31194639.13,51451.33141,70.8,31.2
146400,102002.421,1651.775878,3,1.2
146500,299049.1885,2580.531715,13.8,5.1
147600,62544.69619,2500.946466,2.4,NA
148100,251683.8711,2251.660751,12.6,4.2
149000,202337.8525,3206.493457,11.1,6.6
149800,583094.039,5928.817715,2.7,0.9
150600,81451.70909,1132.198675,13.8,NA
150800,357797.1723,6666.917247,NA,NA
150900,62611.49783,1094.65196,8.4,NA
151000,99778.87629,1300.83518,15.3,NA
151300,31390.27137,1348.875248,NA,NA
151500,504421.0095,9243.113612,6,1.8
151625,55313.0132,1118.900359,NA,NA
152000,47948.82956,1100.156672,1.8,NA
152200,242469.9831,2977.092323,8.7,NA
152700,120429.8584,3509.399663,3.6,NA
155200,137507.1297,1703.154669,0.6,NA
155300,69338.08155,1086.176745,14.7,NA
155400,28439.42799,654.993401,NA,NA
155570,104543.8237,1316.046227,8.7,3.6
155700,202427.4762,2298.304078,1.2,NA
156300,140475.9706,1507.331732,13.5,NA
156500,11771.25817,958.258841,NA,NA
157100,24090.40524,1071.591772,NA,NA
157300,482823.9124,3292.35616,18,NA
157600,61569.9655,1599.277071,NA,NA
158300,36610.53934,2086.601409,NA,NA
158600,163727.3202,6335.703095,6,1.2
158700,20285250.65,45048.3796,1.5,0.9
159300,120877.2656,3208.644788,NA,NA
159600,18303.06532,695.900634,NA,NA
159900,5853756.604,24186.72469,2.1,NA
160600,263982.4783,2244.93034,16.2,4.8
160800,22470.55265,579.126663,NA,NA
161100,979021.6045,8330.35348,2.4,0.9
161600,1085515.509,4708.735197,4.2,NA
161900,2278884.944,6186.910684,1.8,NA
162500,1871348.467,6776.437625,8.4,3
163400,25058.90287,1002.311996,NA,NA
163800,42281.27666,1602.672303,1.5,NA
163970,327073.8332,2949.710158,12.9,NA
164300,1379168.065,14726.44538,5.1,NA
164600,20844.19548,1115.184295,NA,NA
165100,25272.90125,610.301087,NA,NA
165300,66351.02601,936.456086,2.1,NA
165500,75363.17604,3017.424451,NA,NA
165700,695534.2793,6359.507192,3,NA
166700,78193.19843,2335.896654,2.4,NA
167000,878452.9774,11444.47312,4.2,2.4
167800,19008.13179,935.364392,NA,NA
168000,8817769.251,41039.53211,2.4,1.5
168190,39535.22574,1114.541084,NA,NA
168300,218379.9818,2583.212342,1.8,1.2
168400,103192.0551,1674.711441,9.3,4.2
168800,127606.8459,1895.517377,2.1,0.9
169300,11400.46595,397.568893,NA,NA
169500,18463.139,582.658132,NA,NA
170100,24975.41592,608.552279,NA,NA
170850,66526.14918,1004.794944,NA,NA
171000,117136.7902,1765.929994,9.3,3.9
171200,30256.07867,817.771361,NA,NA
172300,690411.7817,11166.21087,1.5,NA
172350,36857.94961,1465.831891,NA,NA
172600,69069.86751,1642.115203,1.5,NA
173000,15228.84655,566.037062,NA,NA
173300,760504.6335,6779.966525,1.8,NA
173500,78791.17043,1191.62013,11.4,NA
173600,29317.30772,651.679826,NA,NA
173700,17688.08018,561.480294,NA,NA
175700,3427671.059,10208.15325,2.7,2.1
175900,19995.98716,513.769884,NA,NA
176000,292820.272,2966.542144,2.1,NA
176200,138051.1525,1645.989902,1.2,NA
176600,31267.71678,1179.164237,NA,NA
176900,14690.15155,814.497169,NA,NA
177200,76387.41783,2678.769384,NA,NA
177500,45719.79853,779.13032,14.7,NA
177700,11921.08061,413.867413,NA,NA
178000,218767.7094,5746.704459,4.5,NA
178300,45353.91198,1411.62334,NA,NA
178500,57339.84586,2178.717354,NA,NA
178700,212572.7157,6098.221466,2.7,NA
179100,110692.0562,2202.941095,8.4,2.7
179800,1649097.263,9657.11827,24.6,9.6
180000,108842.8914,2194.259437,9.6,4.2
180300,1333540.649,13686.84759,8.1,2.1
181300,157426.058,1858.160397,7.8,NA
181400,660374.3036,4217.493957,8.4,3.6
181500,130612.0308,1840.968373,5.7,NA
181600,69318.14772,1667.957295,10.5,NA
181700,329064.0644,2982.398099,1.8,NA
181800,327846.7203,2271.75006,7.2,NA
181900,119177.677,1675.652268,10.8,2.1
182000,107637.8129,1721.137205,6.6,4.2
182100,504572.381,4226.744898,6.6,3.6
182200,267687.0715,3359.194447,10.5,4.2
182300,375583.0095,3294.349314,3.9,1.8
