wbic,Developed,Barren,Forest,Shrub.Scrub,Grassland,Pasture.hay,CultivatedCrops,Wetlands
77300,0.018779343,0,0.122065728,0,0.051643192,0.286384977,0.521126761,0
77500,0.136807818,0,0.063517915,0.009771987,0,0.213355049,0.2247557,0.351791531
77600,0.099337748,0,0.039735099,0,0.066225166,0.17218543,0.456953642,0.165562914
79100,0.287878788,0,0,0,0,0,0.712121212,0
79300,0.25,0,0.486842105,0,0,0,0.105263158,0.157894737
79500,0,0,0.804597701,0,0,0,0,0.195402299
79600,0,0,0,0,0,0,0.034246575,0.965753425
79800,0.113636364,0,0,0,0,0.322727273,0.527272727,0.036363636
81000,0.068965517,0,0.390804598,0,0,0.022988506,0.022988506,0.494252874
81200,0.80952381,0,0.095238095,0,0,0.011904762,0.047619048,0.035714286
82800,0.069620253,0,0.107594937,0,0,0.772151899,0,0.050632911
82900,0,0,0.630952381,0,0,0.198412698,0.055555556,0.115079365
83000,0,0,0.215053763,0,0,0.021505376,0,0.76344086
83100,0,0,0,0,0,0.349593496,0.024390244,0.62601626
83700,0,0,0,0,0,0.026666667,0,0.973333333
84600,0.056994819,0,0.020725389,0,0,0.559585492,0.015544041,0.347150259
84700,0,0,0,0,0,0.081081081,0.036036036,0.882882883
85000,0.08988764,0,0.157303371,0,0.02247191,0.269662921,0,0.460674157
85200,0.052083333,0,0.09375,0,0,0.427083333,0.057291667,0.369791667
85300,0,0,0.165289256,0,0.024793388,0.276859504,0.012396694,0.520661157
85400,0.056179775,0,0.153558052,0.003745318,0,0.29588015,0,0.490636704
87900,0.079470199,0,0.271523179,0,0,0.390728477,0.026490066,0.231788079
89800,0,0,0.444444444,0,0,0.268518519,0,0.287037037
90600,0.484126984,0,0,0,0,0.396825397,0.007936508,0.111111111
91400,0,0,0.456521739,0,0,0.543478261,0,0
92600,0.017045455,0,0,0,0,0,0,0.982954545
92700,0.087591241,0.051094891,0.087591241,0,0,0,0,0.773722628
92900,0,0,0.081395349,0,0,0.011627907,0,0.906976744
93100,0.1375,0,0.1859375,0,0,0.3078125,0,0.36875
93200,0.244444444,0,0.422222222,0,0,0.111111111,0,0.222222222
93300,0.089285714,0.035714286,0.334821429,0,0,0,0,0.540178571
93400,0.02,0,0.135,0,0,0,0,0.845
93500,0.179054054,0.055743243,0.47972973,0,0.060810811,0.038851351,0,0.185810811
93700,0,0,0,0,0,0,0,1
93800,0.115789474,0,0.147368421,0,0.136842105,0.157894737,0,0.442105263
94200,0.359477124,0,0.032679739,0,0,0.588235294,0.019607843,0
94300,0,0,0.041474654,0,0,0.520737327,0,0.437788018
94500,0,0,0,0,0,0.710280374,0,0.289719626
94700,0.073446328,0,0.028248588,0,0,0.09039548,0,0.807909605
95100,0.189542484,0,0,0,0.006535948,0.568627451,0.058823529,0.176470588
95700,0.050870147,0,0.179384203,0,0,0.148594378,0.010709505,0.610441767
96900,0,0,0,0.178674352,0,0,0,0.821325648
97300,0,0,0.017910448,0.098507463,0.023880597,0,0,0.859701493
97700,0.162077597,0.33979975,0.030663329,0,0.00563204,0.012515645,0,0.44931164
